groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,time(us)
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyslurm,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,0,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,1,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,2,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,3,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,4,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,5,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,6,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,7,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,8,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,9,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,10,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,11,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,12,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,13,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,14,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,15,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,16,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,17,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,18,895.0
17,4,4,75,alltoall,100000,2,empty,2,dflyhybrid,topo,easy,adaptive,1.0,19,895.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,0,232541.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,1,231007.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,2,240918.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,3,224078.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,4,226851.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,5,216480.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,6,230553.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,7,220668.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,8,224828.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,9,222357.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,10,210300.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,11,223112.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,12,214044.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,13,224279.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,14,210145.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,15,221162.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,16,216901.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,17,236370.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,18,217113.0
17,4,4,75,alltoall,100000,2,empty,99,random,topo,easy,adaptive,1.0,19,244451.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,0,313468.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,1,287841.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,2,326274.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,3,308446.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,4,276679.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,5,298219.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,6,294317.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,7,325757.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,8,284831.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,9,338940.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,10,308184.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,11,311431.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,12,298238.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,13,274661.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,14,337089.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,15,309815.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,16,276129.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,17,320338.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,18,279982.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdr,topo,easy,adaptive,1.0,19,302652.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,0,407720.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,1,433647.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,2,429601.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,3,450647.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,4,434721.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,5,395449.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,6,418522.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,7,432256.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,8,441339.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,9,415259.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,10,411265.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,11,424132.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,12,425351.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,13,424126.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,14,431028.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,15,413710.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,16,423069.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,17,429120.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,18,431635.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrdg,topo,easy,adaptive,1.0,19,428118.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,0,237976.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,1,227149.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,2,224472.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,3,232645.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,4,225700.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,5,239710.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,6,236962.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,7,232003.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,8,234969.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,9,230442.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,10,238136.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,11,234129.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,12,230285.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,13,231986.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,14,243104.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,15,237816.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,16,228174.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,17,230157.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,18,234235.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrn,topo,easy,adaptive,1.0,19,238796.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,0,310289.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,1,313883.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,2,318459.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,3,312727.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,4,314209.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,5,309926.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,6,309615.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,7,326432.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,8,308438.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,9,310725.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,10,320309.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,11,321673.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,12,311392.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,13,317205.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,14,311027.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,15,311450.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,16,318627.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,17,317018.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,18,306898.0
17,4,4,75,alltoall,100000,2,empty,99,dflyrrr,topo,easy,adaptive,1.0,19,311011.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,0,474365.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,1,477814.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,2,471017.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,3,468030.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,4,473316.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,5,473640.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,6,471275.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,7,479069.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,8,468247.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,9,474616.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,10,463760.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,11,468779.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,12,471253.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,13,471855.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,14,471957.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,15,466888.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,16,469095.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,17,466295.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,18,473536.0
17,4,4,75,alltoall,100000,2,empty,99,dflyslurm,topo,easy,adaptive,1.0,19,473946.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,0,236812.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,1,234958.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,2,226513.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,3,231765.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,4,242841.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,5,236989.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,6,227514.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,7,233817.0
17,4,4,75,alltoall,100000,2,empty,99,dflyhybrid,topo,easy,adaptive,1.0,8,228071.0
