groupNum,routersPerGroup,nodesPerRouter,utilization,application,messageSize,messageIter,traceMode,traceNum,allocation,taskmapping,scheduler,routing,alpha,expIter,Avg.Norm.Latency
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,3,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,4,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,5,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,6,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,7,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,8,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,9,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,10,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,11,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,12,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,13,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,14,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,15,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,16,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,17,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,18,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.25,19,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,0,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,1,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,2,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,3,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,4,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,5,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,6,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,7,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,8,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,9,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,10,1.0
17,4,4,75,alltoall,100000,2,corner,1,dflyrdr,topo,easy,adaptive,0.5,11,1.0
